Time,X,Y,Z,Displacement [mm]
2026-04-03T15:13:12.148,       0.01,       -0.01,       -0.03,       0.03
2026-04-03T15:13:12.665,      -0.02,       -0.01,       -0.01,       0.03
2026-04-03T15:13:13.178,      -0.01,       -0.02,        0.22,       0.22
2026-04-03T15:13:13.680,      -0.01,        0.01,        0.27,       0.27
2026-04-03T15:13:14.211,      -0.00,        0.01,        0.41,       0.41
2026-04-03T15:13:14.729,       0.00,       -0.01,        0.47,       0.47
2026-04-03T15:13:15.276,      -0.01,       -0.01,        0.64,       0.64
2026-04-03T15:13:15.792,      -0.01,       -0.01,        0.74,       0.74
2026-04-03T15:13:16.309,      -0.02,       -0.01,        0.93,       0.93
2026-04-03T15:13:16.826,      -0.02,       -0.01,        1.02,       1.02
2026-04-03T15:13:17.340,      -0.01,        0.00,        1.14,       1.14
2026-04-03T15:13:17.857,      -0.00,        0.00,        1.25,       1.25
2026-04-03T15:13:18.372,       0.01,       -0.02,        1.44,       1.44
2026-04-03T15:13:18.891,      -0.00,        0.02,        1.56,       1.56
2026-04-03T15:13:19.408,      -0.00,       -0.01,        1.69,       1.69
2026-04-03T15:13:19.955,      -0.00,       -0.00,        1.74,       1.74
2026-04-03T15:13:20.473,      -0.01,       -0.01,        1.86,       1.86
2026-04-03T15:13:20.989,       0.00,        0.01,        1.88,       1.88
2026-04-03T15:13:21.506,       0.02,        0.04,        1.92,       1.92
2026-04-03T15:13:22.019,      -0.01,        0.04,        1.97,       1.97
2026-04-03T15:13:22.534,      -0.01,        0.03,        1.96,       1.96
2026-04-03T15:13:23.051,       0.00,        0.05,        1.99,       1.99
2026-04-03T15:13:23.569,       0.01,        0.01,        2.00,       2.00
2026-04-03T15:13:24.086,      -0.00,        0.03,        2.01,       2.02
2026-04-03T15:13:24.602,       0.01,        0.01,        2.04,       2.04
2026-04-03T15:13:25.115,       0.00,        0.01,        1.99,       1.99
2026-04-03T15:13:25.631,      -0.00,        0.04,        2.01,       2.01
2026-04-03T15:13:26.148,      -0.00,        0.02,        2.04,       2.04
2026-04-03T15:13:26.667,       0.01,        0.02,        1.99,       1.99
2026-04-03T15:13:27.182,       0.02,        0.01,        1.89,       1.89
2026-04-03T15:13:27.697,       0.02,        0.01,        1.75,       1.75
2026-04-03T15:13:28.248,      -0.01,       -0.03,        1.62,       1.62
2026-04-03T15:13:28.764,       0.02,        0.01,        1.43,       1.43
2026-04-03T15:13:29.277,       0.03,       -0.02,        1.19,       1.19
2026-04-03T15:13:29.794,       0.01,        0.01,        1.07,       1.07
2026-04-03T15:13:30.309,       0.00,        0.01,        0.88,       0.88
2026-04-03T15:13:30.809,       0.00,       -0.02,        0.72,       0.72
2026-04-03T15:13:31.326,       0.03,        0.01,        0.61,       0.61
2026-04-03T15:13:31.843,       0.02,       -0.01,        0.46,       0.46
2026-04-03T15:13:32.357,       0.03,        0.01,        0.30,       0.31
2026-04-03T15:13:32.877,       0.01,        0.02,        0.22,       0.22
2026-04-03T15:13:33.393,       0.02,       -0.01,        0.07,       0.07
2026-04-03T15:13:33.940,       0.03,       -0.00,        0.00,       0.03
2026-04-03T15:13:34.458,       0.04,        0.01,       -0.06,       0.08
2026-04-03T15:13:34.974,       0.02,        0.01,       -0.07,       0.08
2026-04-03T15:13:35.488,      -0.00,        0.00,       -0.05,       0.05
2026-04-03T15:13:36.003,      -0.01,        0.00,       -0.02,       0.02
2026-04-03T15:13:36.519,      -0.01,        0.02,        0.01,       0.03
2026-04-03T15:13:37.037,      -0.01,       -0.01,       -0.01,       0.02
2026-04-03T15:13:37.536,      -0.00,        0.00,       -0.06,       0.06
2026-04-03T15:13:38.051,      -0.00,        0.01,       -0.07,       0.07
2026-04-03T15:13:38.567,      -0.00,       -0.01,       -0.04,       0.04
2026-04-03T15:13:39.088,      -0.01,        0.01,       -0.07,       0.07
2026-04-03T15:13:39.603,      -0.01,        0.01,       -0.03,       0.04
2026-04-03T15:13:40.116,      -0.02,       -0.00,       -0.02,       0.03
2026-04-03T15:13:40.633,       0.01,        0.01,       -0.20,       0.20
2026-04-03T15:13:41.147,       0.01,       -0.00,       -0.31,       0.31
2026-04-03T15:13:41.667,      -0.00,       -0.01,       -0.45,       0.45
2026-04-03T15:13:42.184,      -0.00,       -0.02,       -0.59,       0.59
2026-04-03T15:13:42.700,      -0.01,       -0.02,       -0.77,       0.77
2026-04-03T15:13:43.262,      -0.00,       -0.02,       -0.93,       0.93
2026-04-03T15:13:43.765,       0.00,       -0.03,       -1.08,       1.08
2026-04-03T15:13:44.282,       0.01,       -0.03,       -1.23,       1.23
2026-04-03T15:13:44.795,       0.00,       -0.03,       -1.34,       1.34
2026-04-03T15:13:45.310,      -0.01,       -0.03,       -1.49,       1.49
2026-04-03T15:13:45.828,      -0.01,       -0.01,       -1.63,       1.63
2026-04-03T15:13:46.346,      -0.00,       -0.01,       -1.73,       1.73
2026-04-03T15:13:46.861,       0.00,       -0.01,       -1.79,       1.79
2026-04-03T15:13:47.378,      -0.01,        0.02,       -1.90,       1.90
2026-04-03T15:13:47.891,      -0.03,        0.01,       -1.98,       1.98
2026-04-03T15:13:48.407,      -0.01,        0.01,       -2.07,       2.07
2026-04-03T15:13:48.924,      -0.01,        0.04,       -2.03,       2.03
2026-04-03T15:13:49.442,      -0.02,        0.03,       -2.07,       2.07
2026-04-03T15:13:49.956,      -0.02,       -0.00,       -2.02,       2.02
2026-04-03T15:13:50.473,      -0.01,        0.02,       -2.03,       2.03
2026-04-03T15:13:50.988,      -0.02,        0.00,       -2.06,       2.06
2026-04-03T15:13:51.507,      -0.01,       -0.02,       -2.05,       2.05
2026-04-03T15:13:52.073,      -0.01,       -0.01,       -2.03,       2.03
2026-04-03T15:13:52.586,      -0.02,        0.00,       -2.02,       2.02
2026-04-03T15:13:53.102,      -0.01,        0.01,       -2.02,       2.02
2026-04-03T15:13:53.619,      -0.01,        0.03,       -1.98,       1.98
2026-04-03T15:13:54.137,      -0.02,        0.02,       -2.00,       2.00
2026-04-03T15:13:54.653,      -0.02,        0.01,       -2.00,       2.00
2026-04-03T15:13:55.170,      -0.00,       -0.01,       -2.00,       2.00
2026-04-03T15:13:55.683,      -0.02,       -0.00,       -2.02,       2.02
2026-04-03T15:13:56.199,      -0.02,        0.00,       -2.04,       2.04
2026-04-03T15:13:56.716,      -0.03,        0.01,       -1.94,       1.94
2026-04-03T15:13:57.234,      -0.02,        0.00,       -1.71,       1.71
2026-04-03T15:13:57.750,      -0.02,        0.01,       -1.57,       1.57
2026-04-03T15:13:58.265,      -0.02,       -0.01,       -1.45,       1.45
2026-04-03T15:13:58.779,      -0.01,       -0.02,       -1.24,       1.25
2026-04-03T15:13:59.296,       0.00,       -0.03,       -1.10,       1.10
2026-04-03T15:13:59.797,      -0.00,        0.00,       -0.95,       0.95
2026-04-03T15:14:00.312,      -0.03,       -0.02,       -0.80,       0.80
2026-04-03T15:14:00.827,      -0.00,       -0.02,       -0.72,       0.72
2026-04-03T15:14:01.343,      -0.03,       -0.04,       -0.61,       0.61
2026-04-03T15:14:01.864,      -0.02,       -0.02,       -0.54,       0.54
2026-04-03T15:14:02.378,      -0.02,        0.00,       -0.38,       0.38
2026-04-03T15:14:02.892,      -0.02,       -0.01,       -0.25,       0.25
2026-04-03T15:14:03.409,      -0.01,       -0.03,       -0.21,       0.21
2026-04-03T15:14:03.924,      -0.02,       -0.05,       -0.07,       0.08
2026-04-03T15:14:04.443,      -0.02,       -0.04,       -0.10,       0.11
2026-04-03T15:14:04.961,      -0.01,       -0.05,       -0.06,       0.08
2026-04-03T15:14:05.472,      -0.02,       -0.01,        0.00,       0.02
2026-04-03T15:14:05.989,      -0.01,       -0.00,       -0.01,       0.02
2026-04-03T15:14:06.505,      -0.01,       -0.02,       -0.01,       0.02
2026-04-03T15:14:07.024,      -0.01,        0.01,       -0.02,       0.02
2026-04-03T15:14:07.540,      -0.01,       -0.00,       -0.03,       0.03
2026-04-03T15:14:08.056,      -0.01,       -0.00,        0.00,       0.01
2026-04-03T15:14:08.619,       0.00,       -0.01,        0.02,       0.02
2026-04-03T15:14:09.135,      -0.01,       -0.00,       -0.01,       0.01
2026-04-03T15:14:09.637,      -0.02,        0.02,       -0.01,       0.03
2026-04-03T15:14:10.152,      -0.01,       -0.02,       -0.05,       0.05
2026-04-03T15:14:10.667,      -0.00,       -0.01,       -0.04,       0.04
2026-04-03T15:14:11.183,      -0.01,        0.02,       -0.01,       0.02
2026-04-03T15:14:11.702,      -0.00,        0.00,       -0.04,       0.04
2026-04-03T15:14:12.218,      -0.00,        0.00,       -0.02,       0.02
2026-04-03T15:14:12.731,      -0.01,        0.01,        0.01,       0.01
2026-04-03T15:14:13.248,       0.00,       -0.01,       -0.01,       0.01
2026-04-03T15:14:13.763,      -0.02,        0.00,       -0.03,       0.03
2026-04-03T15:14:14.283,      -0.01,       -0.01,       -0.05,       0.05
2026-04-03T15:14:14.800,       0.00,       -0.00,       -0.00,       0.00
2026-04-03T15:14:15.315,      -0.02,       -0.00,       -0.01,       0.02
2026-04-03T15:14:15.828,      -0.01,        0.00,       -0.05,       0.06
2026-04-03T15:14:16.345,      -0.00,        0.01,       -0.06,       0.06
2026-04-03T15:14:16.848,      -0.00,        0.01,        0.01,       0.01
2026-04-03T15:14:17.360,      -0.01,       -0.01,       -0.04,       0.04
2026-04-03T15:14:17.876,      -0.14,       -0.00,       -0.02,       0.14
2026-04-03T15:14:18.392,      -0.24,        0.00,       -0.04,       0.24
2026-04-03T15:14:18.907,      -0.29,        0.02,        0.00,       0.30
2026-04-03T15:14:19.427,      -0.41,        0.00,       -0.00,       0.41
2026-04-03T15:14:19.944,      -0.51,        0.02,        0.01,       0.51
2026-04-03T15:14:20.456,      -0.61,        0.03,       -0.00,       0.61
2026-04-03T15:14:20.972,      -0.69,        0.02,        0.02,       0.69
2026-04-03T15:14:21.489,      -0.82,        0.03,        0.06,       0.82
2026-04-03T15:14:21.992,      -0.93,        0.04,        0.13,       0.94
2026-04-03T15:14:22.505,      -1.01,        0.07,        0.14,       1.03
2026-04-03T15:14:23.020,      -1.10,        0.07,        0.16,       1.12
2026-04-03T15:14:23.537,      -1.17,        0.04,        0.19,       1.19
2026-04-03T15:14:24.056,      -1.24,        0.05,        0.16,       1.25
2026-04-03T15:14:24.572,      -1.30,        0.04,        0.17,       1.31
2026-04-03T15:14:25.088,      -1.38,        0.03,        0.12,       1.38
2026-04-03T15:14:25.601,      -1.46,        0.01,        0.04,       1.47
